time,regd,power,in1,in2,heatflow,pressure
854.099944224961,0.792352,0.806322106020598,0.360984432,0.41847,1.40581479605809,18.713985660444
854.132701002667,0.792352,0.805757388614382,0.360984432,0.41847,1.40543661589269,18.7133421537104
854.170955955993,0.792352,0.805061536251394,0.360984432,0.41847,1.40499632863134,18.7125875140411
854.215377209127,0.792352,0.804208490816824,0.360984432,0.41847,1.40448661550472,18.7117071991675
854.265198604563,0.792352,0.80319906639224,0.360984432,0.41847,1.40391650521425,18.7107151153195
854.319871655219,0.792352,0.80203500534331,0.360984432,0.41847,1.40329230872424,18.7096212411783
854.372662941201,0.792352,0.800866453038974,0.360984432,0.41847,1.40269061051337,18.7085604762882
854.424773864496,0.792352,0.79968527191756,0.360984432,0.41847,1.4020973305403,18.7075095429075
854.47639804207,0.792352,0.798506420828768,0.360984432,0.41847,1.40151001343143,18.7064651215042
854.526350881985,0.792352,0.79737727995953,0.360984432,0.41847,1.40094195477743,18.7054517579655
854.574561053889,0.792352,0.796317709225838,0.360984432,0.41847,1.40039384487928,18.7044714784398
854.622238753691,0.792352,0.795317640446299,0.360984432,0.41847,1.39985186094167,18.7035000852806
854.670279859262,0.792352,0.794376056179365,0.360984432,0.41847,1.39930579474956,18.7025195566447
854.719567201287,0.792352,0.793496644607931,0.360984432,0.41847,1.39874561670356,18.7015119913991
854.771310547329,0.792352,0.792685240186483,0.360984432,0.41847,1.39815761381119,18.7004526781201
854.827843978244,0.792352,0.791947406674385,0.360984432,0.41847,1.39751534966669,18.699293717623
854.897605667364,0.792352,0.791271507273982,0.360984432,0.41847,1.39672320775437,18.6978616072612
854.964317158247,0.792352,0.790879428482522,0.360984432,0.41847,1.39596634255355,18.6964903840591
855.018841001028,0.792352,0.790743531801074,0.360984432,0.41847,1.39534840405316,18.6953686020185
855.069028832894,0.792352,0.790759125422745,0.360984432,0.41847,1.39478027616214,18.6943352925435
855.118007328891,0.792352,0.790895015090752,0.360984432,0.41847,1.39422658960967,18.693326282556
855.166979175504,0.792352,0.791137679669975,0.360984432,0.41847,1.39367385407609,18.6923168863983
855.216893848599,0.792352,0.791479123390463,0.360984432,0.41847,1.3931115208132,18.6912875809978
855.268920173603,0.792352,0.791916006277351,0.360984432,0.41847,1.39252668037244,18.6902142796056
855.325116428542,0.792352,0.792453922585583,0.360984432,0.41847,1.39189663306849,18.6890544993175
